адрес_места_нахождения,наименование_кабинета,оснащенность,приспособленность_для_инвалидов
"Пулковская улица, 6а","Аудитория 1-308 Учебная аудитория для проведения занятий лекционного типа, семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-217 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-216 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-215 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-210 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-207 Учебная аудитория для проведения занятий семинарского типа, практических занятий,текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-206 Учебная аудитория для проведения занятий лекционного типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска); ПК -1 шт, Проектор – 1 шт.,Экран – 1 шт. Программное обеспечение : пакет программ Microsoft (ОС семейства Windows, пакеты приложений Microsoft Office)",-
"Пулковская улица, 6а","Аудитория 1-205 Учебная аудитория для проведения занятий лекционного типа, практических занятий, текущего контроля и промежуточной аттестации","""Комплект учебной мебели (столы, стулья, доска); ПК -1 шт, Проектор – 1 шт.,Экран – 1 шт. Программное обеспечение : пакет программ Microsoft",-
"Пулковская улица, 6а","Аудитория 1-204 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-203 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-202 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-203 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-202 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
